"","newTarget","Marital.status","Application.mode","Application.order","Course","Day.eve.attendance","Previous.qualification","Nationality","Mother.qualification","Father.qualification","Mother.occupation","Father.occupation","Displaced","Educational.special.needs","Debtor","Tuition.fees.up.to.date","Gender","Scholarship.holder","Age.at.enrollment","Fsem.without.eval","Ssem.credit","Ssem.enrolled","Ssem.eval","Ssem.grade","Ssem.without.eval","Unemployment.rate","Inflation.rate","GDP"
"1","0",1,8,5,2,1,1,1,13,10,6,10,1,0,0,1,1,0,20,0,0,0,0,0,0,10.8,1.4,1.74
"2","1",1,6,1,11,1,1,1,1,3,4,4,1,0,0,0,1,0,19,0,0,6,6,13.66666667,0,13.9,-0.3,0.79
"3","0",1,1,5,5,1,1,1,22,27,10,10,1,0,0,0,1,0,19,0,0,6,0,0,0,10.8,1.4,1.74
"4","1",1,8,2,15,1,1,1,23,27,6,4,1,0,0,1,0,0,20,0,0,6,10,12.4,0,9.4,-0.8,-3.12
"5","1",2,12,1,3,0,1,1,22,28,10,10,0,0,0,1,0,0,45,0,0,6,6,13,0,13.9,-0.3,0.79
"6","1",2,12,1,17,0,12,1,22,27,10,8,0,0,1,1,1,0,50,0,0,5,17,11.5,5,16.2,0.3,-0.92
"7","1",1,1,1,12,1,1,1,13,28,8,11,1,0,0,1,0,1,18,0,0,8,8,14.345,0,15.5,2.8,-4.06
"8","0",1,9,4,11,1,1,1,22,27,10,10,1,0,0,0,1,0,22,0,0,5,5,0,0,15.5,2.8,-4.06
"9","1",1,1,3,10,1,1,15,1,1,10,10,0,0,0,1,0,1,21,0,0,6,7,14.14285714,0,16.2,0.3,-0.92
"10","0",1,1,1,10,1,1,1,1,14,5,8,1,0,1,0,0,0,18,0,0,6,14,13.5,0,8.9,1.4,3.51
"11","1",1,1,1,14,1,1,1,23,14,6,8,1,0,0,1,0,0,18,0,0,6,7,14.2,0,13.9,-0.3,0.79
"12","1",1,1,1,12,1,1,1,13,28,10,10,1,0,0,1,0,1,18,0,0,8,8,13.21428571,0,12.7,3.7,-1.7
"13","0",1,1,2,16,1,1,1,13,27,5,10,1,0,0,1,0,0,19,0,0,6,0,0,0,12.7,3.7,-1.7
"14","1",1,17,1,11,1,16,1,1,1,5,8,1,0,0,1,0,1,21,0,0,6,8,11,0,8.9,1.4,3.51
"15","1",1,1,1,6,1,1,1,23,27,6,6,1,0,0,1,0,1,18,0,0,5,5,12,0,10.8,1.4,1.74
"16","0",1,1,1,15,1,1,1,13,27,10,4,1,0,0,1,0,0,20,0,0,6,7,0,0,15.5,2.8,-4.06
"18","1",1,8,2,12,1,1,1,13,1,6,5,1,0,0,1,0,0,18,0,0,8,8,14.545,0,15.5,2.8,-4.06
"19","1",1,1,1,8,1,1,1,3,14,4,6,1,0,0,1,0,0,20,1,0,5,8,12.25,2,10.8,1.4,1.74
"21","1",1,1,3,2,1,1,1,1,1,10,9,0,0,0,1,0,1,21,0,0,0,0,0,0,11.1,0.6,2.02
"23","1",1,1,4,12,1,1,1,13,14,2,2,1,0,0,1,0,0,18,0,0,8,12,12.85714286,0,12.7,3.7,-1.7
"24","1",1,1,4,14,1,1,1,1,28,5,8,1,0,0,1,0,1,19,0,0,6,7,12.28571429,0,11.1,0.6,2.02
"25","1",1,1,1,12,1,1,1,13,14,4,8,0,0,0,1,0,0,19,0,0,8,9,14.11428571,0,11.1,0.6,2.02
"27","1",1,8,2,10,1,1,1,13,28,8,9,1,0,0,1,0,0,21,0,0,6,9,13.28571429,0,16.2,0.3,-0.92
"29","1",1,1,1,9,1,1,1,13,1,10,10,1,0,0,1,0,0,20,0,0,5,6,12.33333333,0,16.2,0.3,-0.92
"32","1",1,16,1,5,1,1,1,27,3,16,22,1,0,0,1,1,0,20,0,0,6,9,13.4,0,8.9,1.4,3.51
"34","1",1,9,1,3,0,1,1,13,1,10,6,1,0,0,1,0,0,19,0,0,6,8,14.375,0,12.4,0.5,1.79
"35","1",1,1,1,17,0,1,1,2,27,4,10,0,0,0,1,1,0,34,0,0,5,9,13.42857143,0,13.9,-0.3,0.79
"36","0",1,12,1,1,1,1,1,23,27,10,7,0,0,1,0,1,0,37,0,0,7,7,10,0,8.9,1.4,3.51
"37","0",1,12,1,7,1,8,1,19,27,1,1,1,0,0,1,1,0,43,0,0,5,0,0,0,7.6,2.6,0.32
"38","0",1,14,1,9,1,1,1,22,27,7,7,0,0,0,1,0,0,55,0,0,5,8,12,2,16.2,0.3,-0.92
"39","1",4,12,1,17,0,1,1,13,14,10,4,1,0,0,1,0,0,39,0,0,5,5,11.6,0,7.6,2.6,0.32
"40","0",1,15,1,8,1,14,3,4,4,4,7,0,0,1,0,0,0,20,0,1,6,11,12,0,12.4,0.5,1.79
"41","0",1,1,5,15,1,1,1,3,3,3,3,0,0,1,1,0,0,18,0,0,5,5,0,0,12.7,3.7,-1.7
"42","1",1,1,2,9,1,1,1,3,14,3,8,1,0,0,1,0,0,22,0,0,5,5,15.8,0,8.9,1.4,3.51
"43","1",1,1,6,12,1,1,1,1,3,3,3,1,1,0,1,0,0,22,0,0,8,9,14.34285714,0,11.1,0.6,2.02
"44","0",1,8,1,15,1,1,1,1,28,6,6,0,0,0,0,0,0,20,0,0,6,7,13.8,0,12.4,0.5,1.79
"45","0",1,12,1,17,0,1,1,22,27,10,10,0,0,0,1,0,0,29,0,0,5,0,0,0,16.2,0.3,-0.92
"47","1",1,8,2,10,1,1,1,13,14,10,10,1,0,0,1,0,0,18,0,0,6,8,13.2,0,11.1,0.6,2.02
"48","1",1,8,6,12,1,1,1,22,14,8,8,1,0,0,1,0,1,22,0,0,8,9,13.77142857,0,11.1,0.6,2.02
"49","1",1,15,1,3,0,14,1,1,14,10,10,0,0,0,1,0,1,21,0,2,6,7,13.28571429,0,12.4,0.5,1.79
"50","1",1,1,1,10,1,1,1,22,28,10,10,0,0,0,1,0,1,19,0,0,6,7,12.83333333,0,12.7,3.7,-1.7
"51","1",1,12,1,11,1,1,1,13,28,10,8,0,0,0,1,0,1,24,0,0,6,6,14.16666667,0,12.4,0.5,1.79
